batch_data,timestamp,area_name,people
2025-09-03,2025-09-03 19:05:11 UTC,Ullevaal_Stadion,3633
2025-09-03,2025-09-03 19:10:07 UTC,Ullevaal_Stadion,3560
2025-09-03,2025-09-03 19:15:11 UTC,Ullevaal_Stadion,3480
2025-09-03,2025-09-03 19:20:06 UTC,Ullevaal_Stadion,3573
2025-09-03,2025-09-03 19:25:06 UTC,Ullevaal_Stadion,3518
2025-09-03,2025-09-03 19:30:07 UTC,Ullevaal_Stadion,3491
2025-09-03,2025-09-03 19:35:08 UTC,Ullevaal_Stadion,3524
2025-09-03,2025-09-03 19:40:06 UTC,Ullevaal_Stadion,3507
2025-09-03,2025-09-03 19:45:06 UTC,Ullevaal_Stadion,3618
2025-09-03,2025-09-03 19:50:05 UTC,Ullevaal_Stadion,3500
2025-09-03,2025-09-03 19:55:05 UTC,Ullevaal_Stadion,3498
2025-09-03,2025-09-03 20:00:06 UTC,Ullevaal_Stadion,3520
2025-09-03,2025-09-03 20:05:06 UTC,Ullevaal_Stadion,3540
2025-09-03,2025-09-03 20:10:07 UTC,Ullevaal_Stadion,3511
2025-09-03,2025-09-03 20:15:12 UTC,Ullevaal_Stadion,3527
2025-09-03,2025-09-03 20:20:07 UTC,Ullevaal_Stadion,3556
2025-09-03,2025-09-03 20:25:05 UTC,Ullevaal_Stadion,3516
2025-09-03,2025-09-03 20:30:08 UTC,Ullevaal_Stadion,3527
2025-09-03,2025-09-03 20:35:11 UTC,Ullevaal_Stadion,3582
2025-09-03,2025-09-03 20:40:06 UTC,Ullevaal_Stadion,3520
2025-09-03,2025-09-03 20:45:10 UTC,Ullevaal_Stadion,3538
2025-09-03,2025-09-03 20:50:06 UTC,Ullevaal_Stadion,3496
2025-09-03,2025-09-03 20:55:11 UTC,Ullevaal_Stadion,3491
2025-09-03,2025-09-03 21:00:06 UTC,Ullevaal_Stadion,3611
2025-09-03,2025-09-03 21:05:07 UTC,Ullevaal_Stadion,3649
2025-09-03,2025-09-03 21:10:07 UTC,Ullevaal_Stadion,3578
2025-09-03,2025-09-03 21:15:05 UTC,Ullevaal_Stadion,3538
2025-09-03,2025-09-03 21:20:04 UTC,Ullevaal_Stadion,3582
2025-09-03,2025-09-03 21:25:07 UTC,Ullevaal_Stadion,3589
2025-09-03,2025-09-03 21:30:11 UTC,Ullevaal_Stadion,3513
2025-09-03,2025-09-03 21:35:07 UTC,Ullevaal_Stadion,3598
2025-09-03,2025-09-03 21:40:05 UTC,Ullevaal_Stadion,3509
2025-09-03,2025-09-03 21:45:06 UTC,Ullevaal_Stadion,3500
2025-09-03,2025-09-03 21:50:07 UTC,Ullevaal_Stadion,3480
2025-09-03,2025-09-03 21:55:07 UTC,Ullevaal_Stadion,3587
2025-09-03,2025-09-03 22:00:10 UTC,Ullevaal_Stadion,3487
2025-09-03,2025-09-03 22:05:06 UTC,Ullevaal_Stadion,3484
2025-09-03,2025-09-03 22:10:11 UTC,Ullevaal_Stadion,3458
2025-09-03,2025-09-03 22:15:07 UTC,Ullevaal_Stadion,3456
2025-09-03,2025-09-03 22:20:06 UTC,Ullevaal_Stadion,3456
2025-09-03,2025-09-03 22:25:07 UTC,Ullevaal_Stadion,3447
2025-09-03,2025-09-03 22:30:12 UTC,Ullevaal_Stadion,3440
2025-09-03,2025-09-03 22:35:10 UTC,Ullevaal_Stadion,3371
2025-09-03,2025-09-03 22:40:05 UTC,Ullevaal_Stadion,3451
2025-09-03,2025-09-03 22:45:06 UTC,Ullevaal_Stadion,3464
2025-09-03,2025-09-03 22:50:05 UTC,Ullevaal_Stadion,3438
2025-09-03,2025-09-03 22:55:10 UTC,Ullevaal_Stadion,3380
2025-09-03,2025-09-03 23:00:07 UTC,Ullevaal_Stadion,3427
2025-09-03,2025-09-03 23:05:07 UTC,Ullevaal_Stadion,3380
2025-09-03,2025-09-03 23:10:09 UTC,Ullevaal_Stadion,3424
2025-09-03,2025-09-03 23:15:05 UTC,Ullevaal_Stadion,3364
2025-09-03,2025-09-03 23:20:06 UTC,Ullevaal_Stadion,3382
